Year,Region,Season,Soil Type,Soil pH,Soil Nitrogen,Soil Phosphorus,Soil Potassium,Soil Organic Matter (%),Soil Moisture (%),Avg Rainfall (mm),Solar Radiation Impact (BTU/sqft),Rotation Sequence,Crop_Planted (Action),Growth Duration (days),Water Requirement (mm),Phosphorus Requirement (kg/ha),Potassium Requirement (kg/ha),Nitrogen Requirement (kg/ha),Base Yield (kg/ha),Simulated Yield (kg/ha),Soil Score Before,Soil Score After
2002,Jharkhand,Rabi,Red,6.11,107.17,21.02,55.85,1.25,15.4,1000,21,"['Soybean', 'Chickpea', 'Tomato']",Chickpea,90,350,20,25,50,1000,1051.08,0.67,0.68
2016,Gujarat,Kharif,Chalky,7.66,54.91,26.65,55.82,1.89,13.04,800,30,"['Groundnut', 'Pigeon Pea', 'Cucumber']",Groundnut,90,400,20,30,50,1200,1317.82,0.66,0.66
2016,Kerala,Kharif,Alluvial,7.24,118.14,22.41,72.88,3.32,23.56,3000,19,"['Soybean', 'Chickpea', 'Cucumber']",Soybean,100,500,25,35,50,2000,1792.84,0.89,0.89
2000,Mizoram,Zaid,Laterite,5.72,106.08,19.27,32.75,1.23,6.08,2200,14,"['Groundnut', 'Pigeon Pea', 'Cucumber']",Cucumber,70,250,10,20,40,3000,4911.98,0.52,0.54
2006,Andaman and Nicobar Islands,Zaid,Alluvial,7.02,103.39,27.14,66.52,4.12,21.85,3000,30,"['Maize', 'Chickpea', 'Okra']",Okra,60,250,15,20,50,2000,3618.62,0.88,0.9
2013,Mizoram,Kharif,Laterite,5.75,108.36,15.1,30.06,2.11,7.38,2200,14,"['Rice', 'Chickpea', 'Tomato']",Rice,140,1500,40,60,100,4000,1510.42,0.54,0.54
2013,Jharkhand,Kharif,Laterite,5.27,103.93,22.78,46.07,1.67,12.7,1000,21,"['Rice', 'Pigeon Pea', 'Cucumber']",Rice,140,1500,40,60,100,4000,2278.46,0.62,0.62
2008,Jammu & Kashmir,Rabi,Alluvial,7.46,83.57,36.71,52.75,2.17,18.63,900,20,"['Groundnut', 'Pigeon Pea', 'Cucumber']",Pigeon Pea,120,600,30,40,50,1800,2202.56,0.78,0.8
2016,Arunachal Pradesh,Kharif,Laterite,5.93,105.66,18.03,30.49,1.5,14.22,2500,15,"['Maize', 'Pigeon Pea', 'Cucumber']",Maize,110,600,35,50,80,6000,3091.28,0.6,0.6
2007,Karnataka,Kharif,Laterite,5.09,119.09,22.1,30.31,1.58,5.31,900,23,"['Soybean', 'Chickpea', 'Cucumber']",Soybean,100,500,25,35,50,2000,1731.78,0.54,0.54
2008,Haryana,Rabi,Alluvial,7.23,92.24,20.06,77.36,3.87,19.45,700,24,"['Groundnut', 'Chickpea', 'Cucumber']",Chickpea,90,350,20,25,50,1000,1002.79,0.84,0.85
2003,Arunachal Pradesh,Zaid,Forest,6.5,105.56,29.08,51.09,9.58,23.88,2500,15,"['Rice', 'Chickpea', 'Tomato']",Tomato,80,350,20,30,70,10000,14540.65,1.05,1.06
2019,Ladakh,Kharif,Sandy,6.05,76.51,19.95,20.77,1.9,5.04,200,12,"['Soybean', 'Chickpea', 'Cucumber']",Soybean,100,500,25,35,50,2000,800.0,0.48,0.48
2005,Maharashtra,Rabi,Red,5.6,83.28,16.82,41.76,2.9,16.13,900,26,"['Rice', 'Pigeon Pea', 'Chili']",Pigeon Pea,120,600,30,40,50,1800,1009.21,0.64,0.64
2008,Jharkhand,Rabi,Red,5.52,70.87,18.36,48.25,2.17,16.6,1000,21,"['Rice', 'Pigeon Pea', 'Chili']",Pigeon Pea,120,600,30,40,50,1800,1101.31,0.62,0.62
2015,Telangana,Zaid,Black,6.71,101.88,36.31,90.7,5.85,21.85,800,28,"['Groundnut', 'Chickpea', 'Tomato']",Tomato,80,350,20,30,70,10000,16010.15,1.02,1.03
2016,Uttarakhand,Kharif,Alluvial,7.07,115.03,36.87,67.84,4.35,22.49,1100,18,"['Rice', 'Chickpea', 'Cucumber']",Rice,140,1500,40,60,100,4000,2933.33,0.96,0.96
2013,Sikkim,Kharif,Alluvial,7.32,84.08,36.6,63.54,4.6,15.89,2000,17,"['Rice', 'Pigeon Pea', 'Cucumber']",Rice,140,1500,40,60,100,4000,3363.03,0.86,0.86
2020,Jharkhand,Rabi,Laterite,5.14,79.62,11.5,52.3,2.77,11.51,1000,21,"['Soybean', 'Pigeon Pea', 'Chili']",Pigeon Pea,120,600,30,40,50,1800,689.75,0.58,0.59
2000,Chhattisgarh,Zaid,Red,6.04,71.76,17.28,51.68,2.77,10.91,1300,25,"['Groundnut', 'Chickpea', 'Tomato']",Tomato,80,350,20,30,70,10000,8637.68,0.61,0.62
2009,Maharashtra,Zaid,Black,6.28,128.21,32.54,83.21,3.57,22.55,900,26,"['Soybean', 'Chickpea', 'Okra']",Okra,60,250,15,20,50,2000,4338.11,0.94,0.96
2018,Punjab,Zaid,Alluvial,7.49,121.54,28.55,62.67,2.76,23.18,600,23,"['Soybean', 'Pigeon Pea', 'Cucumber']",Cucumber,70,250,10,20,40,3000,7200.0,0.88,0.9
2002,Himachal Pradesh,Rabi,Mountain,6.74,92.62,22.4,58.79,2.5,10.71,1200,16,"['Soybean', 'Pigeon Pea', 'Okra']",Pigeon Pea,120,600,30,40,50,1800,1344.28,0.68,0.69
2008,Assam,Rabi,Alluvial,7.47,101.18,23.22,57.72,4.78,16.41,2200,18,"['Maize', 'Pigeon Pea', 'Cucumber']",Pigeon Pea,120,600,30,40,50,1800,1393.35,0.83,0.83
2000,Punjab,Zaid,Alluvial,7.33,102.19,37.97,70.32,3.85,22.06,600,23,"['Soybean', 'Pigeon Pea', 'Cucumber']",Cucumber,70,250,10,20,40,3000,7200.0,0.93,0.95
2014,Karnataka,Rabi,Laterite,5.33,73.32,17.79,39.39,2.42,12.24,900,23,"['Soybean', 'Pigeon Pea', 'Chili']",Pigeon Pea,120,600,30,40,50,1800,1067.4,0.57,0.58
2000,Tamil Nadu,Zaid,Red,6.27,72.93,25.91,40.48,1.3,12.45,950,27,"['Rice', 'Pigeon Pea', 'Okra']",Okra,60,250,15,20,50,2000,3209.09,0.59,0.6
2013,Andhra Pradesh,Kharif,Loamy,6.63,115.29,39.09,72.35,5.61,22.76,900,20,"['Maize', 'Pigeon Pea', 'Tomato']",Maize,110,600,35,50,80,6000,6701.43,1.01,1.01
2020,Tamil Nadu,Rabi,Laterite,5.6,71.55,14.07,51.94,2.35,7.43,950,27,"['Soybean', 'Pigeon Pea', 'Tomato']",Pigeon Pea,120,600,30,40,50,1800,844.25,0.54,0.55
2010,Dadra and Nagar Haveli,Kharif,Laterite,5.03,71.67,20.76,37.56,2.9,10.38,1800,25,"['Soybean', 'Pigeon Pea', 'Chili']",Soybean,100,500,25,35,50,2000,1661.15,0.57,0.57
2001,Haryana,Kharif,Alluvial,6.59,87.48,34.92,55.6,2.71,22.93,700,24,"['Groundnut', 'Chickpea', 'Tomato']",Groundnut,90,400,20,30,50,1200,2094.96,0.82,0.82
2018,Arunachal Pradesh,Zaid,Forest,6.31,92.07,28.06,47.6,8.86,24.89,2500,15,"['Soybean', 'Chickpea', 'Chili']",Chili,70,300,15,20,60,1500,2531.95,1.0,1.01
2008,Nagaland,Rabi,Laterite,5.41,75.25,24.86,38.93,1.17,5.05,1800,16,"['Soybean', 'Pigeon Pea', 'Okra']",Pigeon Pea,120,600,30,40,50,1800,1491.66,0.5,0.51
2013,Uttarakhand,Kharif,Mountain,6.15,74.13,14.22,53.16,2.35,12.54,1100,18,"['Maize', 'Chickpea', 'Cucumber']",Maize,110,600,35,50,80,6000,2436.92,0.6,0.6
2009,Lakshadweep,Zaid,Coral,7.67,21.28,9.36,7.57,0.79,1.86,1500,32,"['Maize', 'Pigeon Pea', 'Chili']",Chili,70,300,15,20,60,1500,567.63,0.31,0.31
2001,Chhattisgarh,Kharif,Laterite,5.92,98.89,11.71,44.31,1.71,9.91,1300,25,"['Groundnut', 'Chickpea', 'Tomato']",Groundnut,90,400,20,30,50,1200,702.39,0.56,0.56
2000,Punjab,Zaid,Alluvial,6.75,80.7,28.78,74.62,4.34,20.13,600,23,"['Soybean', 'Chickpea', 'Okra']",Okra,60,250,15,20,50,2000,3550.76,0.86,0.87
2000,Maharashtra,Zaid,Red,6.31,109.99,24.66,60.83,1.98,13.54,900,26,"['Maize', 'Chickpea', 'Cucumber']",Cucumber,70,250,10,20,40,3000,7398.8,0.71,0.73
2007,Chhattisgarh,Kharif,Laterite,5.57,74.33,14.62,57.01,2.15,12.43,1300,25,"['Rice', 'Pigeon Pea', 'Okra']",Rice,140,1500,40,60,100,4000,1461.79,0.59,0.59
2012,Jharkhand,Zaid,Red,5.91,77.69,26.09,54.83,1.06,16.17,1000,21,"['Soybean', 'Pigeon Pea', 'Cucumber']",Cucumber,70,250,10,20,40,3000,6409.17,0.64,0.65
2012,Uttarakhand,Zaid,Alluvial,7.4,104.98,34.18,56.57,4.28,22.21,1100,18,"['Groundnut', 'Pigeon Pea', 'Chili']",Chili,70,300,15,20,60,1500,2886.9,0.91,0.92
2019,Daman and Diu,Kharif,Sandy,6.26,86.35,19.13,23.44,1.46,5.0,800,27,"['Soybean', 'Pigeon Pea', 'Chili']",Soybean,100,500,25,35,50,2000,1339.38,0.49,0.49
2018,Maharashtra,Zaid,Red,5.96,69.96,24.6,59.33,1.32,12.39,900,26,"['Groundnut', 'Chickpea', 'Okra']",Okra,60,250,15,20,50,2000,3078.03,0.61,0.62
2014,Tamil Nadu,Rabi,Laterite,5.81,114.8,20.37,37.77,2.8,9.29,950,27,"['Groundnut', 'Pigeon Pea', 'Chili']",Pigeon Pea,120,600,30,40,50,1800,1222.12,0.63,0.65
2017,Odisha,Rabi,Red,5.81,104.08,20.15,65.69,2.4,17.66,1500,25,"['Groundnut', 'Chickpea', 'Okra']",Chickpea,90,350,20,25,50,1000,1007.44,0.73,0.75
2014,Jammu & Kashmir,Rabi,Alluvial,7.0,88.51,20.44,56.36,3.61,19.82,900,20,"['Rice', 'Chickpea', 'Tomato']",Chickpea,90,350,20,25,50,1000,1022.02,0.78,0.78
2011,Goa,Rabi,Sandy,6.57,77.41,17.04,30.74,1.88,11.44,3000,28,"['Rice', 'Chickpea', 'Tomato']",Chickpea,90,350,20,25,50,1000,852.13,0.56,0.56
2005,Goa,Rabi,Sandy,6.49,50.02,18.65,44.67,1.12,8.74,3000,28,"['Soybean', 'Pigeon Pea', 'Chili']",Pigeon Pea,120,600,30,40,50,1800,1119.23,0.51,0.51
2008,Andhra Pradesh,Rabi,Alluvial,6.59,113.0,24.44,78.96,2.37,19.8,900,20,"['Maize', 'Chickpea', 'Cucumber']",Chickpea,90,350,20,25,50,1000,1222.04,0.82,0.82
2014,Uttar Pradesh,Rabi,Alluvial,6.76,124.91,30.54,75.49,2.18,17.27,800,22,"['Maize', 'Pigeon Pea', 'Chili']",Pigeon Pea,120,600,30,40,50,1800,1832.45,0.84,0.84
2019,Ladakh,Kharif,Sandy,6.79,83.89,13.91,36.58,1.78,5.85,200,12,"['Groundnut', 'Pigeon Pea', 'Cucumber']",Groundnut,90,400,20,30,50,1200,600.0,0.52,0.52
2009,Puducherry,Zaid,Red,6.26,82.24,25.89,60.47,1.27,11.43,1200,26,"['Maize', 'Chickpea', 'Tomato']",Tomato,80,350,20,30,70,10000,12923.45,0.63,0.65
2016,Meghalaya,Kharif,Laterite,5.23,88.9,11.16,30.36,1.58,5.09,2500,15,"['Groundnut', 'Pigeon Pea', 'Tomato']",Groundnut,90,400,20,30,50,1200,669.68,0.45,0.45
2010,Meghalaya,Kharif,Laterite,5.19,82.27,12.45,52.11,2.83,6.08,2500,15,"['Maize', 'Pigeon Pea', 'Okra']",Maize,110,600,35,50,80,6000,2134.85,0.54,0.54
2018,Jharkhand,Zaid,Laterite,5.55,80.23,19.28,33.89,1.0,14.32,1000,21,"['Maize', 'Chickpea', 'Okra']",Okra,60,250,15,20,50,2000,2570.01,0.55,0.56
2003,Sikkim,Zaid,Mountain,7.39,73.35,16.56,42.02,3.41,15.66,2000,17,"['Groundnut', 'Chickpea', 'Chili']",Chili,70,300,15,20,60,1500,1655.57,0.68,0.69
2009,Karnataka,Zaid,Red,6.48,98.68,29.43,47.69,2.67,16.08,900,23,"['Groundnut', 'Pigeon Pea', 'Chili']",Chili,70,300,15,20,60,1500,2713.57,0.74,0.75
2011,Kerala,Rabi,Laterite,5.97,90.41,16.13,39.53,1.3,5.04,3000,19,"['Groundnut', 'Chickpea', 'Okra']",Chickpea,90,350,20,25,50,1000,806.61,0.5,0.52
2017,Arunachal Pradesh,Rabi,Laterite,5.23,119.03,10.59,47.01,2.47,7.53,2500,15,"['Soybean', 'Chickpea', 'Chili']",Chickpea,90,350,20,25,50,1000,529.52,0.58,0.59
2011,Andaman and Nicobar Islands,Rabi,Alluvial,7.16,84.7,33.13,65.16,2.09,24.7,3000,30,"['Groundnut', 'Chickpea', 'Tomato']",Chickpea,90,350,20,25,50,1000,1656.75,0.84,0.85
2016,Assam,Kharif,Alluvial,6.84,89.44,28.21,53.55,2.5,19.46,2200,18,"['Maize', 'Pigeon Pea', 'Cucumber']",Maize,110,600,35,50,80,6000,4836.11,0.76,0.76
2015,Tamil Nadu,Zaid,Laterite,5.85,91.46,19.67,58.12,1.22,5.99,950,27,"['Groundnut', 'Pigeon Pea', 'Tomato']",Tomato,80,350,20,30,70,10000,9833.59,0.56,0.57
2018,Andaman and Nicobar Islands,Zaid,Alluvial,7.03,88.26,39.82,63.91,3.18,24.2,3000,30,"['Groundnut', 'Pigeon Pea', 'Cucumber']",Cucumber,70,250,10,20,40,3000,7281.2,0.9,0.91
2005,Tripura,Rabi,Forest,6.14,105.81,35.85,70.04,5.18,27.99,2000,16,"['Rice', 'Chickpea', 'Tomato']",Chickpea,90,350,20,25,50,1000,1792.49,0.99,0.99
2009,Assam,Zaid,Alluvial,6.83,95.39,25.72,59.14,4.0,24.54,2200,18,"['Rice', 'Pigeon Pea', 'Okra']",Okra,60,250,15,20,50,2000,3428.82,0.86,0.88
2011,Andhra Pradesh,Rabi,Red,5.79,106.2,17.42,57.91,1.68,14.6,900,20,"['Soybean', 'Pigeon Pea', 'Chili']",Pigeon Pea,120,600,30,40,50,1800,1045.0,0.66,0.67
2001,Odisha,Kharif,Red,5.91,81.29,18.47,45.33,2.99,17.53,1500,25,"['Maize', 'Chickpea', 'Cucumber']",Maize,110,600,35,50,80,6000,3165.88,0.67,0.67
2018,Chhattisgarh,Zaid,Laterite,5.05,97.34,14.76,52.3,2.49,10.0,1300,25,"['Maize', 'Chickpea', 'Chili']",Chili,70,300,15,20,60,1500,1476.08,0.59,0.61
2003,Rajasthan,Zaid,Saline,8.1,34.58,5.33,14.94,1.48,9.14,400,35,"['Soybean', 'Chickpea', 'Okra']",Okra,60,250,15,20,50,2000,710.31,0.42,0.42
2000,Manipur,Zaid,Forest,6.91,76.02,27.75,58.56,6.49,27.25,1800,17,"['Groundnut', 'Pigeon Pea', 'Cucumber']",Cucumber,70,250,10,20,40,3000,6271.31,0.95,0.96
2017,Bihar,Rabi,Alluvial,7.41,111.32,26.1,68.54,2.83,15.51,1100,22,"['Soybean', 'Pigeon Pea', 'Okra']",Pigeon Pea,120,600,30,40,50,1800,1565.99,0.81,0.82
2005,Manipur,Rabi,Laterite,5.98,97.66,24.13,49.28,1.67,5.1,1800,17,"['Rice', 'Chickpea', 'Cucumber']",Chickpea,90,350,20,25,50,1000,1206.49,0.58,0.58
2019,Nagaland,Kharif,Laterite,5.72,84.47,23.35,35.19,2.85,10.23,1800,16,"['Rice', 'Chickpea', 'Cucumber']",Rice,140,1500,40,60,100,4000,2335.23,0.6,0.6
2014,Rajasthan,Rabi,Alluvial,6.55,106.34,33.45,75.07,2.55,21.14,400,35,"['Maize', 'Pigeon Pea', 'Cucumber']",Pigeon Pea,120,600,30,40,50,1800,1200.0,0.86,0.86
2012,Assam,Zaid,Alluvial,7.3,91.66,32.85,63.66,3.66,16.22,2200,18,"['Soybean', 'Pigeon Pea', 'Tomato']",Tomato,80,350,20,30,70,10000,14404.17,0.83,0.84
2018,Tripura,Zaid,Alluvial,7.29,92.43,36.43,69.17,4.85,15.49,2000,16,"['Soybean', 'Chickpea', 'Cucumber']",Cucumber,70,250,10,20,40,3000,7625.75,0.89,0.9
2013,Tripura,Kharif,Alluvial,6.94,93.04,34.58,71.5,3.38,21.89,2000,16,"['Groundnut', 'Pigeon Pea', 'Okra']",Groundnut,90,400,20,30,50,1200,2075.0,0.88,0.88
2007,Uttarakhand,Kharif,Mountain,7.13,78.66,27.9,41.54,2.81,16.08,1100,18,"['Soybean', 'Pigeon Pea', 'Chili']",Soybean,100,500,25,35,50,2000,2232.21,0.71,0.71
2001,Nagaland,Kharif,Laterite,5.73,70.99,20.31,43.52,2.05,10.62,1800,16,"['Maize', 'Chickpea', 'Okra']",Maize,110,600,35,50,80,6000,3481.93,0.57,0.57
2012,Goa,Zaid,Sandy,6.19,75.85,15.64,31.21,1.14,14.59,3000,28,"['Rice', 'Chickpea', 'Tomato']",Tomato,80,350,20,30,70,10000,7819.54,0.54,0.55
2002,Uttarakhand,Rabi,Mountain,7.14,60.89,16.74,55.96,2.09,14.29,1100,18,"['Groundnut', 'Chickpea', 'Chili']",Chickpea,90,350,20,25,50,1000,836.98,0.63,0.64
2004,Karnataka,Kharif,Red,6.19,86.33,15.81,56.53,2.44,11.22,900,23,"['Rice', 'Pigeon Pea', 'Tomato']",Rice,140,1500,40,60,100,4000,1581.4,0.63,0.63
2005,Mizoram,Rabi,Laterite,5.45,110.58,18.0,40.08,1.66,13.97,2200,14,"['Soybean', 'Pigeon Pea', 'Okra']",Pigeon Pea,120,600,30,40,50,1800,1080.23,0.61,0.63
2012,Haryana,Zaid,Alluvial,6.66,90.31,39.84,72.59,4.89,17.96,700,24,"['Groundnut', 'Chickpea', 'Chili']",Chili,70,300,15,20,60,1500,2483.48,0.91,0.93
2018,Karnataka,Zaid,Alluvial,7.37,89.83,39.08,67.94,4.26,22.14,900,23,"['Soybean', 'Pigeon Pea', 'Tomato']",Tomato,80,350,20,30,70,10000,14115.98,0.93,0.94
2003,Rajasthan,Zaid,Sandy,6.87,72.55,17.26,34.46,1.53,6.39,400,35,"['Rice', 'Pigeon Pea', 'Cucumber']",Cucumber,70,250,10,20,40,3000,4800.0,0.51,0.52
2010,Daman and Diu,Kharif,Alluvial,7.45,119.66,24.41,69.46,2.08,23.48,800,27,"['Groundnut', 'Chickpea', 'Tomato']",Groundnut,90,400,20,30,50,1200,1464.83,0.85,0.85
2019,Mizoram,Kharif,Laterite,5.41,112.88,10.96,58.6,2.23,13.01,2200,14,"['Rice', 'Pigeon Pea', 'Cucumber']",Rice,140,1500,40,60,100,4000,1095.75,0.64,0.64
2000,Chhattisgarh,Zaid,Red,5.54,67.0,25.74,52.95,2.78,13.12,1300,25,"['Rice', 'Chickpea', 'Cucumber']",Cucumber,70,250,10,20,40,3000,5527.78,0.64,0.65
2002,Delhi,Rabi,Alluvial,7.42,86.26,28.06,79.91,2.52,16.45,700,24,"['Groundnut', 'Chickpea', 'Cucumber']",Chickpea,90,350,20,25,50,1000,1403.08,0.8,0.81
2019,Goa,Kharif,Laterite,5.97,88.42,13.16,32.98,1.47,6.91,3000,28,"['Rice', 'Chickpea', 'Tomato']",Rice,140,1500,40,60,100,4000,1316.23,0.5,0.5
2014,Dadra and Nagar Haveli,Rabi,Alluvial,6.92,91.55,36.7,62.57,3.26,19.44,1800,25,"['Groundnut', 'Pigeon Pea', 'Tomato']",Pigeon Pea,120,600,30,40,50,1800,2201.85,0.85,0.86
2001,Sikkim,Kharif,Mountain,7.07,76.31,18.33,58.96,3.2,16.36,2000,17,"['Maize', 'Chickpea', 'Chili']",Maize,110,600,35,50,80,6000,3142.25,0.72,0.72
2014,Uttarakhand,Rabi,Alluvial,7.5,111.75,24.74,76.22,4.2,22.42,1100,18,"['Rice', 'Chickpea', 'Chili']",Chickpea,90,350,20,25,50,1000,1237.19,0.92,0.92
2001,Arunachal Pradesh,Kharif,Laterite,5.86,78.45,17.49,51.76,1.17,11.34,2500,15,"['Soybean', 'Pigeon Pea', 'Cucumber']",Soybean,100,500,25,35,50,2000,1399.4,0.56,0.56
2000,Mizoram,Zaid,Laterite,5.36,104.66,16.0,42.42,1.56,11.24,2200,14,"['Rice', 'Chickpea', 'Cucumber']",Cucumber,70,250,10,20,40,3000,4799.59,0.57,0.59
2006,Himachal Pradesh,Zaid,Mountain,7.09,98.52,28.7,34.89,2.03,14.38,1200,16,"['Rice', 'Pigeon Pea', 'Cucumber']",Cucumber,70,250,10,20,40,3000,5234.08,0.69,0.7
2013,Puducherry,Kharif,Alluvial,7.5,99.08,39.46,50.17,4.96,24.8,1200,26,"['Maize', 'Pigeon Pea', 'Cucumber']",Maize,110,600,35,50,80,6000,6020.28,0.96,0.96
2005,Karnataka,Rabi,Alluvial,6.51,128.19,27.91,50.79,2.67,24.45,900,23,"['Rice', 'Pigeon Pea', 'Okra']",Pigeon Pea,120,600,30,40,50,1800,1674.72,0.85,0.85
2008,Odisha,Rabi,Red,6.4,63.78,19.3,42.64,2.72,15.91,1500,25,"['Rice', 'Chickpea', 'Chili']",Chickpea,90,350,20,25,50,1000,964.8,0.63,0.63
2006,Punjab,Zaid,Alluvial,7.1,105.19,36.35,61.4,2.4,19.32,600,23,"['Maize', 'Chickpea', 'Chili']",Chili,70,300,15,20,60,1500,2892.75,0.84,0.85
2002,Tamil Nadu,Rabi,Red,5.7,92.23,27.02,63.59,1.38,16.5,950,27,"['Soybean', 'Chickpea', 'Cucumber']",Chickpea,90,350,20,25,50,1000,1350.98,0.69,0.71
2001,Rajasthan,Kharif,Sandy,6.65,58.59,15.9,47.48,1.84,6.82,400,35,"['Maize', 'Pigeon Pea', 'Chili']",Maize,110,600,35,50,80,6000,2726.41,0.52,0.52
2017,Karnataka,Rabi,Red,5.56,102.2,26.05,66.91,1.65,10.88,900,23,"['Soybean', 'Pigeon Pea', 'Cucumber']",Pigeon Pea,120,600,30,40,50,1800,1563.28,0.67,0.68
2006,Himachal Pradesh,Zaid,Laterite,5.06,106.52,20.48,40.19,1.76,14.58,1200,16,"['Rice', 'Pigeon Pea', 'Chili']",Chili,70,300,15,20,60,1500,2047.92,0.62,0.63
2012,Karnataka,Zaid,Alluvial,6.75,120.66,24.42,54.54,2.43,19.64,900,23,"['Groundnut', 'Pigeon Pea', 'Chili']",Chili,70,300,15,20,60,1500,2442.46,0.79,0.81
2007,Himachal Pradesh,Kharif,Laterite,5.59,96.74,21.66,47.43,1.57,12.34,1200,16,"['Groundnut', 'Pigeon Pea', 'Cucumber']",Groundnut,90,400,20,30,50,1200,1299.64,0.61,0.61
2013,Kerala,Kharif,Laterite,5.7,111.6,10.07,52.48,1.1,14.5,3000,19,"['Groundnut', 'Pigeon Pea', 'Okra']",Groundnut,90,400,20,30,50,1200,604.28,0.6,0.6
2017,Arunachal Pradesh,Rabi,Laterite,5.82,85.99,22.92,57.09,2.78,13.09,2500,15,"['Maize', 'Chickpea', 'Cucumber']",Chickpea,90,350,20,25,50,1000,1146.12,0.67,0.67
2016,Jharkhand,Kharif,Red,6.22,89.78,26.79,63.07,1.7,13.72,1000,21,"['Soybean', 'Pigeon Pea', 'Okra']",Soybean,100,500,25,35,50,2000,2143.05,0.69,0.69
2012,Haryana,Zaid,Alluvial,7.03,92.14,29.22,64.36,2.53,23.76,700,24,"['Rice', 'Chickpea', 'Cucumber']",Cucumber,70,250,10,20,40,3000,7601.67,0.83,0.85
2001,Punjab,Kharif,Alluvial,7.03,97.11,31.37,51.6,3.53,18.68,600,23,"['Rice', 'Pigeon Pea', 'Tomato']",Rice,140,1500,40,60,100,4000,1600.0,0.81,0.81
2001,Bihar,Kharif,Alluvial,7.03,124.84,38.23,78.12,4.88,19.92,1100,22,"['Soybean', 'Chickpea', 'Cucumber']",Soybean,100,500,25,35,50,2000,3058.3,0.99,0.99
2002,Tamil Nadu,Rabi,Alluvial,6.94,123.82,22.5,64.81,3.37,15.08,950,27,"['Groundnut', 'Pigeon Pea', 'Chili']",Pigeon Pea,120,600,30,40,50,1800,1349.82,0.8,0.82
2009,Nagaland,Zaid,Laterite,5.14,93.3,16.89,59.86,2.9,10.98,1800,16,"['Rice', 'Chickpea', 'Chili']",Chili,70,300,15,20,60,1500,1688.8,0.64,0.65
2009,Haryana,Zaid,Alluvial,7.43,98.19,37.46,55.12,2.66,18.49,700,24,"['Soybean', 'Pigeon Pea', 'Tomato']",Tomato,80,350,20,30,70,10000,15429.56,0.83,0.84
2007,Himachal Pradesh,Kharif,Laterite,5.52,78.15,13.31,37.06,1.86,14.28,1200,16,"['Soybean', 'Chickpea', 'Chili']",Soybean,100,500,25,35,50,2000,1064.78,0.55,0.55
2010,Nagaland,Kharif,Laterite,5.35,94.65,15.35,54.24,2.35,5.41,1800,16,"['Rice', 'Chickpea', 'Okra']",Rice,140,1500,40,60,100,4000,1535.49,0.56,0.56
2011,Kerala,Rabi,Alluvial,6.84,108.68,39.56,75.98,2.18,22.26,3000,19,"['Rice', 'Chickpea', 'Okra']",Chickpea,90,350,20,25,50,1000,1978.07,0.89,0.89
2018,Goa,Zaid,Laterite,5.28,100.86,17.55,55.59,2.42,13.9,3000,28,"['Soybean', 'Chickpea', 'Cucumber']",Cucumber,70,250,10,20,40,3000,5263.73,0.65,0.67
2012,Bihar,Zaid,Alluvial,6.82,100.27,21.96,79.26,2.42,18.41,1100,22,"['Groundnut', 'Pigeon Pea', 'Cucumber']",Cucumber,70,250,10,20,40,3000,6588.57,0.79,0.81
2004,Kerala,Kharif,Alluvial,7.14,120.05,34.57,78.94,4.35,17.99,3000,19,"['Maize', 'Chickpea', 'Tomato']",Maize,110,600,35,50,80,6000,5926.63,0.94,0.94
2012,Daman and Diu,Zaid,Sandy,5.77,75.83,19.97,26.97,1.28,14.72,800,27,"['Rice', 'Pigeon Pea', 'Okra']",Okra,60,250,15,20,50,2000,2662.13,0.55,0.56
2007,Delhi,Kharif,Alluvial,6.9,91.98,38.65,79.45,4.44,18.15,700,24,"['Groundnut', 'Pigeon Pea', 'Tomato']",Groundnut,90,400,20,30,50,1200,2100.0,0.92,0.92
2004,Mizoram,Kharif,Laterite,5.43,114.54,23.72,42.57,2.31,6.66,2200,14,"['Rice', 'Pigeon Pea', 'Okra']",Rice,140,1500,40,60,100,4000,2371.84,0.61,0.61
2011,Tripura,Rabi,Forest,6.97,85.42,27.15,40.04,9.02,28.89,2000,16,"['Groundnut', 'Pigeon Pea', 'Chili']",Pigeon Pea,120,600,30,40,50,1800,1629.12,1.02,1.03
2008,Uttar Pradesh,Rabi,Alluvial,6.51,85.97,26.2,63.03,2.77,17.17,800,22,"['Soybean', 'Pigeon Pea', 'Okra']",Pigeon Pea,120,600,30,40,50,1800,1572.18,0.75,0.76
2003,Punjab,Zaid,Alluvial,6.72,110.72,23.76,78.31,3.23,15.25,600,23,"['Maize', 'Pigeon Pea', 'Okra']",Okra,60,250,15,20,50,2000,3168.07,0.81,0.83
2002,Tamil Nadu,Rabi,Laterite,5.93,88.08,21.07,52.24,2.21,7.91,950,27,"['Rice', 'Pigeon Pea', 'Cucumber']",Pigeon Pea,120,600,30,40,50,1800,1264.15,0.6,0.6
2011,Dadra and Nagar Haveli,Rabi,Laterite,5.48,80.72,15.16,56.24,1.1,10.12,1800,25,"['Groundnut', 'Chickpea', 'Tomato']",Chickpea,90,350,20,25,50,1000,758.03,0.54,0.56
2006,Goa,Zaid,Laterite,5.19,84.09,13.29,57.78,2.14,6.05,3000,28,"['Soybean', 'Pigeon Pea', 'Okra']",Okra,60,250,15,20,50,2000,1771.47,0.54,0.55
